분류,용어,한자/영문,정의,관련공종,검증등급
공정단계,소조립,小組立 / Sub-assembly,최소 2 Piece 이상의 부재를 결합해 부분 구조체를 만드는 단계. 거더·플로어·웹·론지·브라켓 생산,전공정,E
공정단계,중조립,中組立 / Semi-block assembly,소조품과 판을 결합해 평블록을 만드는 단계. 선체 중앙부 평블록·외판·격벽,전공정,E
공정단계,대조립,大組立 / Grand assembly,입체화된 블록을 만드는 단계. 선수·선미·엔진룸·데크하우스·곡블록,전공정,E
공정단계,PE,Pre-Erection,도크 탑재 전 지상에서 블록을 미리 대조합하는 단계,반출 후,E
공정단계,탑재,搭載 / Erection,도크에서 블록을 선체로 조립하는 단계,반출 후,E
공정단계,전처리,Pre-treatment,강재 표면을 쇼트블라스트 후 프라이머 도장하는 공정,입고 전,E
공정단계,가공,加工 / Fabrication,NC 절단·개선가공·벤딩·프레스·롤링으로 부재를 만드는 공정,입고 전,E
공종,배재,配材,부재를 정반 위 도면상 위치로 배치·공급하는 작업. 결품이 처음 드러나는 지점,배재,G
공종,취부,取付 / Fit-up,부재를 도면 위치에 맞춰 맞대고 가용접으로 고정하는 작업,취부,E
공종,용접,溶接 / Welding,본용접. 조선 조립에서는 FCAW 반자동이 주력,용접,E
공종,사상,仕上 / Grinding,용접비드·스패터·슬래그·지그 제거부를 정리하고 도장 전 표면을 만드는 작업,사상,G
공종,곡직,曲直 / Line heating,가스 가열로 잔류응력을 완화하고 용접 변형을 교정하는 작업,곡직,E
공종,정도관리,精度管理 / Accuracy Control,블록의 치수·형상을 계측하고 관리하는 체계,정도,E
공종,검사신청,檢査申請,검사 대상 부위에 대해 입회검사를 신청하는 행위. 당일검사완료율 분모의 원천,검사,G
공종,검사대응,檢査對應,입회검사 현장에서 지적 대응·보수·재검을 처리하는 업무,검사,G
용접법,FCAW,Flux Cored Arc Welding,내부에 플럭스가 채워진 와이어(FCW)를 일정 속도로 공급하며 용접하는 아크용접. 조선 주력,용접,E
용접법,GMAW,Gas Metal Arc Welding,보호가스와 솔리드 와이어를 쓰는 아크용접. 현장 통칭 CO2 용접,용접,E
용접법,SMAW,Shielded Metal Arc Welding,피복아크용접. 현장 통칭 전기용접. 보수·가용접·접근곤란부,용접,E
용접법,SAW,Submerged Arc Welding,잠호용접. 플럭스 아래에서 용접. 패널라인 장직선 적용,용접,E
용접법,편면용접,One-side welding,이면에 백킹재를 두고 한쪽에서만 용접해 이면 비드를 형성하는 기법,용접,E
설비,오토캐리지,Auto Carriage,레일 또는 자석 주행으로 이음선을 따라가며 자동 용접하는 주행형 자동용접기,용접,E
설비,비용접부,Non-welded portion,오토캐리지 용접의 시작·끝 부분. 자동화가 매우 어려워 수동 보정이 필요한 구간,용접,E
설비,용접로봇,Welding Robot,소조립 라인에 주로 적용되는 다관절 자동용접 설비,용접,G
설비,가우징,Gouging,결함부나 이면을 파내는 작업. 에어아크 가우징이 일반적,사상/용접,E
설비,O.H.C,Over Head Crane / 천장크레인,공장 상부 평행 레일 위를 주행하는 브리지형 크레인. 실내 양중 전담,양중,E
설비,골리앗 크레인,Goliath / Gantry Crane,지상 레일 위 다리 구조로 주행하는 대형 크레인. 도크·PE장 사용,양중,E
설비,세미골리앗,Semi-goliath,한쪽은 지상 레일 한쪽은 상부 레일로 주행하는 크레인,양중,E
설비,트롤리,Trolley / 크래브,크레인 거더 위를 횡행하며 호이스트를 실은 대차,양중,E
설비,호이스트,Hoist,권상 장치. 실제로 물건을 들어올리는 부분,양중,E
설비,SWL,Safe Working Load / 정격하중,크레인·인양구가 안전하게 다룰 수 있는 최대 하중,양중,E
설비,러그,Lug,인양용으로 블록에 용접하는 귀. 작업 후 제거·사상. 파단 시 낙하 사고로 직결,양중,G
설비,샤클,Shackle,와이어와 러그를 연결하는 인양 부속구,양중,E
설비,스프레더,Spreader,하중을 분산하고 자세를 유지하는 인양 지그,양중,G
설비,신호수,Signalman,크레인 작업을 유도하는 배치 인력,양중,G
설비,트랜스포터,Transporter / T·P,야드에서 블록을 실어 옮기는 자주식 다축 대차,반출,E
설비,턴오버 장치,Turnover device,블록을 반전시키는 전용 설비. 크레인 2대 합체 양중을 대체,반출,E
설비,포지셔너,Positioner,블록을 회전·경전시켜 용접 자세를 개선하는 설비,용접,E
정반,정반,定盤 / Platen,블록을 올려 조립하는 작업 기준면. 치수의 datum 역할. 평탄도가 블록 정도로 전이됨,전공종,E
정반,고정정반,Fixed platen,블록을 셋업 후 완성까지 이동 없이 고정하는 정반. 통상 핀지그 형태,취부/용접,E
정반,핀지그,Pin Jig,수직 스크류 잭(핀) 배열로 곡면 형상을 만들어 곡블록을 지지하는 정반. 레벨·각도 조절로 변형 최소화,취부/용접,E
정반,라인정반,Line Platen,평정반을 일렬 배치해 스테이션별 흐름 생산을 하는 방식. 택트타임 관리 대상,전공종,G
정반,패널라인,Panel Line,평판에 론지를 자동 용접하는 전용 라인. 중조립의 자동화 구간,중조립,G
정반,셋업,Set-up,핀지그 핀 높이·각도를 형상 데이터에 맞춰 맞추는 준비 작업. 셋업 시간이 실질 능력을 깎음,취부,G
정반,정반 회전율,Platen turnover rate,기간 내 완료 블록 수 ÷ 정반 수. 고정정반 공장의 핵심 능력 지표,생산관리,G
정반,택트타임,Tact time,라인정반 각 스테이션에 할당된 목표 소요시간,생산관리,E
취부,루트 갭,Root Gap / 개선 간격,맞대기 이음의 틈. 승인 WPS 지정값을 따르며 통상 지정 갭의 2배를 넘지 않아야 함,취부,E
취부,하이로,Hi-Lo / 단차,맞댄 두 판의 면 어긋남. 응력집중과 검사 지적의 원인,취부,E
취부,개선,Groove,용접을 위해 가공한 홈. 각도·형상이 용입을 결정,취부,E
